Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines	Percentil 75	2018	22.335,29
Ambos sexos	37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines	Percentil 90	2018	31.506,79
Ambos sexos	38 Técnicos de las tecnologías de la información y las comunicaciones (TIC)	Media	2018	28.349,09
Ambos sexos	38 Técnicos de las tecnologías de la información y las comunicaciones (TIC)	Percentil 10	2018	13.250,01
Ambos sexos	38 Técnicos de las tecnologías de la información y las comunicaciones (TIC)	Percentil 25	2018	18.252,93
Ambos sexos	38 Técnicos de las tecnologías de la información y las comunicaciones (TIC)	Percentil 50	2018	26.101,8
Ambos sexos	38 Técnicos de las tecnologías de la información y las comunicaciones (TIC)	Percentil 75	2018	36.491,19
Ambos sexos	38 Técnicos de las tecnologías de la información y las comunicaciones (TIC)	Percentil 90	2018	45.999,96
Ambos sexos	E Empleados de oficina que no atienden al público	Media	2018	24.266,55
Ambos sexos	E Empleados de oficina que no atienden al público	Percentil 10	2018	10.298,01
Ambos sexos	E Empleados de oficina que no atienden al público	Percentil 25	2018	15.907,67
Ambos sexos	E Empleados de oficina que no atienden al público	Percentil 50	2018	21.825,89
Ambos sexos	E Empleados de oficina que no atienden al público	Percentil 75	2018	29.666,7
Ambos sexos	E Empleados de oficina que no atienden al público	Percentil 90	2018	41.092,52
Ambos sexos	41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte	Media	2018	27.066,55
Ambos sexos	41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte	Percentil 10	2018	12.207,17
Ambos sexos	41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte	Percentil 25	2018	17.524,29
Ambos sexos	41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte	Percentil 50	2018	24.074,22
Ambos sexos	41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte	Percentil 75	2018	33.265,84
Ambos sexos	41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte	Percentil 90	2018	46.683,98
Ambos sexos	42 Empleados de bibliotecas, servicios de correos y afines	Media	2018	22.338,31
Ambos sexos	42 Empleados de bibliotecas, servicios de correos y afines	Percentil 10	2018	9.654,71
Ambos sexos	42 Empleados de bibliotecas, servicios de correos y afines	Percentil 25	2018	19.179,86
Ambos sexos	42 Empleados de bibliotecas, servicios de correos y afines	Percentil 50	2018	21.277,36
Ambos sexos	42 Empleados de bibliotecas, servicios de correos y afines	Percentil 75	2018	25.278,49
Ambos sexos	42 Empleados de bibliotecas, servicios de correos y afines	Percentil 90	2018	34.862,44
Ambos sexos	43 Otros empleados administrativos sin tareas de atención al público	Media	2018	20.194,82
Ambos sexos	43 Otros empleados administrativos sin tareas de atención al público	Percentil 10	2018	8.395,99
Ambos sexos	43 Otros empleados administrativos sin tareas de atención al público	Percentil 25	2018	13.380
Ambos sexos	43 Otros empleados administrativos sin tareas de atención al público	Percentil 50	2018	19.334,27
Ambos sexos	43 Otros empleados administrativos sin tareas de atención al público	Percentil 75	2018	25.241,96
Ambos sexos	43 Otros empleados administrativos sin tareas de atención al público	Percentil 90	2018	32.111,2
Ambos sexos	F Empleados de oficina que atienden al público	Media	2018	19.257,04
Ambos sexos	F Empleados de oficina que atienden al público	Percentil 10	2018	8.838,91
Ambos sexos	F Empleados de oficina que atienden al público	Percentil 25	2018	13.117
Ambos sexos	F Empleados de oficina que atienden al público	Percentil 50	2018	17.940,12
Ambos sexos	F Empleados de oficina que atienden al público	Percentil 75	2018	23.770,43
Ambos sexos	F Empleados de oficina que atienden al público	Percentil 90	2018	29.957,19
Ambos sexos	44 Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)	Media	2018	19.080,11
Ambos sexos	44 Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)	Percentil 10	2018	9.494,66
Ambos sexos	44 Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)	Percentil 25	2018	12.950,52
Ambos sexos	44 Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)	Percentil 50	2018	17.016,87
Ambos sexos	44 Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)	Percentil 75	2018	22.737
Ambos sexos	44 Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)	Percentil 90	2018	30.443,71
Ambos sexos	45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes	Media	2018	19.378,5
Ambos sexos	45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes	Percentil 10	2018	8.439,36
Ambos sexos	45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes	Percentil 25	2018	13.349,85
Ambos sexos	45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes	Percentil 50	2018	18.491,5
Ambos sexos	45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes	Percentil 75	2018	24.264,95
Ambos sexos	45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes	Percentil 90	2018	29.809,34
Ambos sexos	G Trabajadores de los servicios de restauración y comercio	Media	2018	15.702,34
Ambos sexos	G Trabajadores de los servicios de restauración y comercio	Percentil 10	2018	7.104,13
Ambos sexos	G Trabajadores de los servicios de restauración y comercio	Percentil 25	2018	10.766,21
Ambos sexos	G Trabajadores de los servicios de restauración y comercio	Percentil 50	2018	14.966,54
Ambos sexos	G Trabajadores de los servicios de restauración y comercio	Percentil 75	2018	18.696,69
Ambos sexos	G Trabajadores de los servicios de restauración y comercio	Percentil 90	2018	24.741,46
Ambos sexos	50 Camareros y cocineros propietarios	Media	2018	..
Ambos sexos	50 Camareros y cocineros propietarios	Percentil 10	2018	..
