Tipo de jornada	Ocupación	Decil	Periodo	Total
Total	2 Técnicos y profesionales científicos e intelectuales	8	2021	2.596,3
Total	2 Técnicos y profesionales científicos e intelectuales	8	2020	2.566,8
Total	2 Técnicos y profesionales científicos e intelectuales	8	2019	2.479,5
Total	2 Técnicos y profesionales científicos e intelectuales	8	2018	2.450,8
Total	2 Técnicos y profesionales científicos e intelectuales	8	2017	2.383,7
Total	2 Técnicos y profesionales científicos e intelectuales	8	2016	2.377,9
Total	2 Técnicos y profesionales científicos e intelectuales	8	2015	2.384,8
Total	2 Técnicos y profesionales científicos e intelectuales	8	2014	2.415,5
Total	2 Técnicos y profesionales científicos e intelectuales	8	2013	2.374,8
Total	2 Técnicos y profesionales científicos e intelectuales	8	2012	2.317,8
Total	2 Técnicos y profesionales científicos e intelectuales	8	2011	2.304,7
Total	2 Técnicos y profesionales científicos e intelectuales	9	2024	3.565,8
Total	2 Técnicos y profesionales científicos e intelectuales	9	2023	3.388,6
Total	2 Técnicos y profesionales científicos e intelectuales	9	2022	3.169
Total	2 Técnicos y profesionales científicos e intelectuales	9	2021	3.126,3
Total	2 Técnicos y profesionales científicos e intelectuales	9	2020	3.162,8
Total	2 Técnicos y profesionales científicos e intelectuales	9	2019	3.043,6
Total	2 Técnicos y profesionales científicos e intelectuales	9	2018	3.011,6
Total	2 Técnicos y profesionales científicos e intelectuales	9	2017	2.965,2
Total	2 Técnicos y profesionales científicos e intelectuales	9	2016	2.941,3
Total	2 Técnicos y profesionales científicos e intelectuales	9	2015	2.988,8
Total	2 Técnicos y profesionales científicos e intelectuales	9	2014	2.967,2
Total	2 Técnicos y profesionales científicos e intelectuales	9	2013	2.936,1
Total	2 Técnicos y profesionales científicos e intelectuales	9	2012	2.876,8
Total	2 Técnicos y profesionales científicos e intelectuales	9	2011	2.879,5
Total	2 Técnicos y profesionales científicos e intelectuales	10	2024	5.788
Total	2 Técnicos y profesionales científicos e intelectuales	10	2023	5.439,1
Total	2 Técnicos y profesionales científicos e intelectuales	10	2022	5.124,6
Total	2 Técnicos y profesionales científicos e intelectuales	10	2021	5.177,5
Total	2 Técnicos y profesionales científicos e intelectuales	10	2020	5.009,9
Total	2 Técnicos y profesionales científicos e intelectuales	10	2019	4.686,6
Total	2 Técnicos y profesionales científicos e intelectuales	10	2018	4.877,2
Total	2 Técnicos y profesionales científicos e intelectuales	10	2017	4.643,2
Total	2 Técnicos y profesionales científicos e intelectuales	10	2016	4.581,5
Total	2 Técnicos y profesionales científicos e intelectuales	10	2015	4.792,2
Total	2 Técnicos y profesionales científicos e intelectuales	10	2014	4.668,9
Total	2 Técnicos y profesionales científicos e intelectuales	10	2013	4.565
Total	2 Técnicos y profesionales científicos e intelectuales	10	2012	4.569,6
Total	2 Técnicos y profesionales científicos e intelectuales	10	2011	4.382,9
Total	3 Técnicos; profesionales de apoyo	Total	2024	2.744,8
Total	3 Técnicos; profesionales de apoyo	Total	2023	2.651,2
Total	3 Técnicos; profesionales de apoyo	Total	2022	2.501,2
Total	3 Técnicos; profesionales de apoyo	Total	2021	2.409,2
Total	3 Técnicos; profesionales de apoyo	Total	2020	2.394,4
Total	3 Técnicos; profesionales de apoyo	Total	2019	2.348
Total	3 Técnicos; profesionales de apoyo	Total	2018	2.252,7
Total	3 Técnicos; profesionales de apoyo	Total	2017	2.276,8
Total	3 Técnicos; profesionales de apoyo	Total	2016	2.270,3
Total	3 Técnicos; profesionales de apoyo	Total	2015	2.298
Total	3 Técnicos; profesionales de apoyo	Total	2014	2.228,8
Total	3 Técnicos; profesionales de apoyo	Total	2013	2.253,5
Total	3 Técnicos; profesionales de apoyo	Total	2012	2.209,4
Total	3 Técnicos; profesionales de apoyo	Total	2011	2.236,8
Total	3 Técnicos; profesionales de apoyo	1	2024	681,1
Total	3 Técnicos; profesionales de apoyo	1	2023	610,5
Total	3 Técnicos; profesionales de apoyo	1	2022	610,3
Total	3 Técnicos; profesionales de apoyo	1	2021	540,6
Total	3 Técnicos; profesionales de apoyo	1	2020	479,1
Total	3 Técnicos; profesionales de apoyo	1	2019	489
Total	3 Técnicos; profesionales de apoyo	1	2018	461,9
Total	3 Técnicos; profesionales de apoyo	1	2017	419,6
Total	3 Técnicos; profesionales de apoyo	1	2016	451,6
Total	3 Técnicos; profesionales de apoyo	1	2015	405
Total	3 Técnicos; profesionales de apoyo	1	2014	371,9
Total	3 Técnicos; profesionales de apoyo	1	2013	418,9
Total	3 Técnicos; profesionales de apoyo	1	2012	401,1
Total	3 Técnicos; profesionales de apoyo	1	2011	454,1
Total	3 Técnicos; profesionales de apoyo	2	2024	1.290,3
Total	3 Técnicos; profesionales de apoyo	2	2023	1.211,1
Total	3 Técnicos; profesionales de apoyo	2	2022	1.124
Total	3 Técnicos; profesionales de apoyo	2	2021	1.040
Total	3 Técnicos; profesionales de apoyo	2	2020	1.022,1
Total	3 Técnicos; profesionales de apoyo	2	2019	1.004,6
Total	3 Técnicos; profesionales de apoyo	2	2018	890,2
Total	3 Técnicos; profesionales de apoyo	2	2017	871,2
Total	3 Técnicos; profesionales de apoyo	2	2016	854,3
Total	3 Técnicos; profesionales de apoyo	2	2015	843,5
Total	3 Técnicos; profesionales de apoyo	2	2014	823,3
Total	3 Técnicos; profesionales de apoyo	2	2013	823,4
Total	3 Técnicos; profesionales de apoyo	2	2012	846,1
Total	3 Técnicos; profesionales de apoyo	2	2011	860,2
Total	3 Técnicos; profesionales de apoyo	3	2024	1.493,4
Total	3 Técnicos; profesionales de apoyo	3	2023	1.442,4
Total	3 Técnicos; profesionales de apoyo	3	2022	1.344,1
Total	3 Técnicos; profesionales de apoyo	3	2021	1.253,5
Total	3 Técnicos; profesionales de apoyo	3	2020	1.247,7
Total	3 Técnicos; profesionales de apoyo	3	2019	1.219,2
Total	3 Técnicos; profesionales de apoyo	3	2018	1.150,4
Total	3 Técnicos; profesionales de apoyo	3	2017	1.121,3
Total	3 Técnicos; profesionales de apoyo	3	2016	1.123,2
Total	3 Técnicos; profesionales de apoyo	3	2015	1.103
Total	3 Técnicos; profesionales de apoyo	3	2014	1.109,7
Total	3 Técnicos; profesionales de apoyo	3	2013	1.113
Total	3 Técnicos; profesionales de apoyo	3	2012	1.128,6
Total	3 Técnicos; profesionales de apoyo	3	2011	1.123,6
Total	3 Técnicos; profesionales de apoyo	4	2024	1.683,1
Total	3 Técnicos; profesionales de apoyo	4	2023	1.632,5
Total	3 Técnicos; profesionales de apoyo	4	2022	1.523
Total	3 Técnicos; profesionales de apoyo	4	2021	1.453,7
Total	3 Técnicos; profesionales de apoyo	4	2020	1.435,5
Total	3 Técnicos; profesionales de apoyo	4	2019	1.421,5
Total	3 Técnicos; profesionales de apoyo	4	2018	1.351,2
Total	3 Técnicos; profesionales de apoyo	4	2017	1.318
Total	3 Técnicos; profesionales de apoyo	4	2016	1.326,7
